gen_id,candidate_id,knob_M,knob_N,knob_K,knob_tile_m,knob_tile_n,knob_tile_k,knob_wg_x,knob_wg_y,knob_wg_z,knob_subgroup_m_cnt,knob_subgroup_n_cnt,knob_intrinsic_mn,knob_intrinsic_k,knob_subgroup_m,knob_subgroup_n,knob_subgroup_k,to_compile,compile_status,to_benchmark,benchmark_device_id,benchmark_queue_position,benchmark_status,baseline_benchmark_time_us,benchmark_time_us,benchmark_speedup,benchmark_rank_order
1,1,8192,5120,640,64,128,32,128,2,1,2,2,16,32,0,0,0,True,True,False,,,False,,,,
2,2,8192,5120,640,512,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,1,True,,99.76,,
3,3,8192,5120,640,256,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,2,True,,424.17,,
4,4,8192,5120,640,128,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,3,True,,73.9,,
5,5,8192,5120,640,32,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,4,True,,62.56,,
6,6,8192,5120,640,64,256,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,5,True,,90.37,,
7,7,8192,5120,640,512,64,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,6,True,,68.4,,
8,8,8192,5120,640,512,128,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,7,True,,90.59,,
9,9,8192,5120,640,256,128,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,8,True,,82.64,,
10,10,8192,5120,640,256,64,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://2,9,True,,72.87,,
11,11,8192,5120,640,512,512,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,10,True,,73.02,,
12,12,8192,5120,640,512,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,11,True,,788.54,,
13,13,8192,5120,640,32,512,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
14,14,8192,5120,640,64,512,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,12,True,,98.19,,
15,15,8192,5120,640,128,512,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://5,13,True,,81.63,,
16,16,8192,5120,640,128,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://6,14,True,,77.68,,
17,17,8192,5120,640,32,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
18,18,8192,5120,640,64,320,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
19,19,8192,5120,640,256,512,64,256,2,1,2,4,16,32,0,0,0,True,False,False,,,False,,,,
20,20,8192,5120,640,256,320,64,256,2,1,2,4,16,32,0,0,0,True,True,True,hip://7,15,True,,545.44,,
21,21,8192,5120,640,512,128,64,512,1,1,1,8,16,32,0,0,0,True,False,False,,,False,,,,
22,22,8192,5120,640,512,256,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,16,True,,85.44,,
23,23,8192,5120,640,256,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,17,True,,368.91,,
24,24,8192,5120,640,128,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://7,18,True,,436.15,,
25,25,8192,5120,640,64,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://6,19,True,,75.61,,
26,26,8192,5120,640,32,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://2,20,True,,76.46,,
27,27,8192,5120,640,16,512,64,512,1,1,1,8,16,32,0,0,0,True,True,True,hip://5,21,True,,90.25,,
